,0,1,2,3,4,5,6,7,8,9,10
0,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,0
2,0,1,1,0,0,0,1,0,0,0,0
3,1,1,1,1,1,1,1,1,1,1,0
4,1,1,1,1,1,1,1,1,1,1,0
5,1,1,1,1,1,1,1,1,1,1,0
6,0,1,0,0,0,0,0,0,1,0,0
7,1,1,0,0,0,1,1,1,1,0,0
8,0,1,0,0,0,0,0,0,1,0,0
9,0,0,0,0,0,0,0,0,1,0,0
10,0,1,0,0,0,0,1,0,1,0,0
11,1,0,0,0,1,0,0,0,0,0,0
12,1,1,1,1,1,1,1,1,1,0,0
13,1,1,1,1,1,1,1,1,1,1,0
14,1,1,1,1,1,1,1,1,1,1,0
15,1,1,1,1,1,1,1,1,1,1,0
16,1,1,1,1,1,1,1,1,1,1,0
17,1,1,1,1,1,1,1,1,1,1,0
18,1,1,1,1,1,1,1,1,1,1,0
19,1,1,1,1,1,1,1,1,1,1,0
20,1,1,1,1,1,1,1,1,1,1,0
21,1,1,1,1,1,1,1,1,1,1,0
22,1,1,1,1,1,1,1,1,1,1,0
23,1,1,1,1,1,1,1,1,1,1,0
24,1,1,1,1,1,1,1,1,1,1,0
25,1,1,1,1,1,1,1,1,1,1,0
26,1,1,1,1,1,1,1,1,1,1,0
27,1,1,1,1,1,1,1,1,1,1,0
28,1,1,1,1,1,1,1,1,1,1,0
29,1,1,1,1,1,1,1,1,1,1,0
